text,category,source,clean_text,predicted_category
"Three NHS trusts still using fax machines, Streeting confesses. The health secretary had made it his personal mission to banish the fax machine from the NHS.",Health,BBC News,three nhs trusts still using fax machines streeting confesses the health secretary had made it his personal mission to banish the fax machine from the nhs,Health
"Parents say babies failed by delayed diagnosis like Jesy Nelson's twins. After Little Mix star Jesy Nelson's revelation that her twins have SMA, parents speak about their children's late diagnoses.",Health,BBC News,parents say babies failed by delayed diagnosis like jesy nelson s twins after little mix star jesy nelson s revelation that her twins have sma parents speak about their children s late diagnoses,Health
"Junk food TV and online advert ban comes into force. Soft drinks, chocolate, pizzas and ice creams will be targeted in the UK government's plan.",Health,BBC News,junk food tv and online advert ban comes into force soft drinks chocolate pizzas and ice creams will be targeted in the uk government s plan,Health
"Wellbeing 2026: Recovery, JOMO and brain boosting supplements. Wellness is a multi-trillion pound industry which continues to grow - and this year is less about maxing out, more about recovering well.",Health,BBC News,wellbeing recovery jomo and brain boosting supplements wellness is a multi trillion pound industry which continues to grow and this year is less about maxing out more about recovering well,Health
"The myth of willpower - and why some people struggle to lose weight more than others. Thousands of genes that have an influence on weight, say experts - which means weight loss isn't a level playing field",Health,BBC News,the myth of willpower and why some people struggle to lose weight more than others thousands of genes that have an influence on weight say experts which means weight loss isn t a level playing field,Health
"Chickenpox vaccines for young children start across UK. For the first time, children will be offered vaccination on the NHS against the common infection which, in rare cases, can be very serious.",Health,BBC News,chickenpox vaccines for young children start across uk for the first time children will be offered vaccination on the nhs against the common infection which in rare cases can be very serious,Health
Surgeon who 'stripped naked in cubicle' struck off. The doctor was working at the Queen Alexandra Hospital in Portsmouth when the incidents happened.,Health,BBC News,surgeon who stripped naked in cubicle struck off the doctor was working at the queen alexandra hospital in portsmouth when the incidents happened,Health
The debate about whether the NHS should use magic mushrooms to treat depression. Many clinical trials to test the use of psychedelic medicines for conditions such as depression have been underway since 2022 - with surprising results,Health,BBC News,the debate about whether the nhs should use magic mushrooms to treat depression many clinical trials to test the use of psychedelic medicines for conditions such as depression have been underway since with surprising results,Health
Flu: How are hospitals in your area affected?. Use our interactive tool to explore the latest flu numbers in your area,Health,BBC News,flu how are hospitals in your area affected use our interactive tool to explore the latest flu numbers in your area,Health
Critical incidents declared at two hospital trusts. NHS bosses are urging people to only come to A&E if it is an emergency.,Health,BBC News,critical incidents declared at two hospital trusts nhs bosses are urging people to only come to a e if it is an emergency,Health
What is happening to flu this winter - and should you buy a vaccine?. Flu has come early this year with a new mutated version of the virus circulating.,Health,BBC News,what is happening to flu this winter and should you buy a vaccine flu has come early this year with a new mutated version of the virus circulating,Health
Toddler finally home from hospital for Christmas. Bertie Melly was in hospital for 18 months after his premature birth in May 2024.,Health,BBC News,toddler finally home from hospital for christmas bertie melly was in hospital for months after his premature birth in may,Health
"Is it a cold, 'super flu' or Covid? How to tell the difference. How to identify whether you have cold, flu or Covid and how to look after yourself.",Health,BBC News,is it a cold super flu or covid how to tell the difference how to identify whether you have cold flu or covid and how to look after yourself,Health
Flu wave hits England's busiest A&E - hundreds of patients are arriving a day. The BBC visits Leicester Royal Infirmary to witness first-hand how it's coping with an early surge in cases of winter bugs.,Health,BBC News,flu wave hits england s busiest a e hundreds of patients are arriving a day the bbc visits leicester royal infirmary to witness first hand how it s coping with an early surge in cases of winter bugs,Health
What's really going on with flu this winter?. We've been told we're facing an unprecedented superflu. Is it?,Health,BBC News,what s really going on with flu this winter we ve been told we re facing an unprecedented superflu is it,Health
"Has flu peaked? What the figures tell us. NHS remains on high alert over flu, health bosses say, but there are signs infections are levelling off.",Health,BBC News,has flu peaked what the figures tell us nhs remains on high alert over flu health bosses say but there are signs infections are levelling off,Health
"Private flu vaccine stocks running low as cases rise. Those eligible for a vaccine can access jabs from the NHS, but experts say that people have turned to pharmacies for convenience.",Health,BBC News,private flu vaccine stocks running low as cases rise those eligible for a vaccine can access jabs from the nhs but experts say that people have turned to pharmacies for convenience,Health
"Ambulance demand spikes as flu season worsens. The service says calls increased by 20% in the past week, fuelled by illnesses such as the flu.",Health,BBC News,ambulance demand spikes as flu season worsens the service says calls increased by in the past week fuelled by illnesses such as the flu,Health
"Some schools disrupted amid rise in flu cases. Flu is on the rise, but ministers say schools should only close in extreme circumstances.",Health,BBC News,some schools disrupted amid rise in flu cases flu is on the rise but ministers say schools should only close in extreme circumstances,Health
Flu jabs offered in pub in vaccination drive. Regular pop-up vaccination clinics are available at The Bevy community pub in Brighton.,Health,BBC News,flu jabs offered in pub in vaccination drive regular pop up vaccination clinics are available at the bevy community pub in brighton,Health
"Much of £11bn Covid scheme fraud 'beyond recovery', report says. The response to the pandemic led to ""enormous outlays of public money which exposed it to the risk of fraud and error"", a report says.",Health,BBC News,much of bn covid scheme fraud beyond recovery report says the response to the pandemic led to enormous outlays of public money which exposed it to the risk of fraud and error a report says,Health
"Government racks up £100m bill responding to Covid inquiry. BBC analysis shows cost to taxpayer is 50% higher than thought, with inquiry's own costs at £192m.",Health,BBC News,government racks up m bill responding to covid inquiry bbc analysis shows cost to taxpayer is higher than thought with inquiry s own costs at m,Health
Lockdown could have been avoided - key findings from Covid inquiry. The long-awaited report is published into how well or badly the government handled the Covid pandemic.,Health,BBC News,lockdown could have been avoided key findings from covid inquiry the long awaited report is published into how well or badly the government handled the covid pandemic,Health
The Covid Inquiry Podcast. Baroness Hallett makes her second report into the UK's pandemic response. With Jim Reed.,Health,BBC News,the covid inquiry podcast baroness hallett makes her second report into the uk s pandemic response with jim reed,Health
The private notes and secret documents that tell the inside story of the UK's Covid response. The Covid inquiry is set to publish its second set of findings looking in detail at the huge political decisions that had to be made in 2020.,Health,BBC News,the private notes and secret documents that tell the inside story of the uk s covid response the covid inquiry is set to publish its second set of findings looking in detail at the huge political decisions that had to be made in,Health
"'Toxic' No 10 culture harmed Covid response, inquiry finds. Boris Johnson, Dominic Cummings and Matt Hanock are all criticised for contributing to poor Covid decision-making.",Health,BBC News,toxic no culture harmed covid response inquiry finds boris johnson dominic cummings and matt hanock are all criticised for contributing to poor covid decision making,Health
"Covid inquiry hears impact on firms and staff. Business owners describe breaking into tears as they were forced to lay off staff, while workers feared for their jobs",Health,BBC News,covid inquiry hears impact on firms and staff business owners describe breaking into tears as they were forced to lay off staff while workers feared for their jobs,Health
"UK did 'too little, too late', leading to thousands more Covid deaths - inquiry. Report on government decision-making says delays cost 23,000 lives in the first wave in England.",Health,BBC News,uk did too little too late leading to thousands more covid deaths inquiry report on government decision making says delays cost lives in the first wave in england,Health
"What's in the Covid inquiry report... in 68 seconds. The report looks at whether lockdowns were timely and reasonable, and what impact rule-breaking at the heart of government had on public confidence.",Health,BBC News,what s in the covid inquiry report in seconds the report looks at whether lockdowns were timely and reasonable and what impact rule breaking at the heart of government had on public confidence,Health
"What is the UK Covid inquiry and how does it work?. The inquiry into the government's handling of the pandemic has heard from politicians, civil servants, experts and bereaved families.",Health,BBC News,what is the uk covid inquiry and how does it work the inquiry into the government s handling of the pandemic has heard from politicians civil servants experts and bereaved families,Health
"Gove apologises after Covid report alleges 'toxic' culture. The ex-senior minister apologises for mistakes in the pandemic, but defends some of the previous government's actions.",Health,BBC News,gove apologises after covid report alleges toxic culture the ex senior minister apologises for mistakes in the pandemic but defends some of the previous government s actions,Health
"Faisal Islam: Trump's Greenland threats to allies are without parallel. The US president's latest threats will baffle the leaders of allied nations, writes the BBC's economics editor.",Business,BBC News,faisal islam trump s greenland threats to allies are without parallel the us president s latest threats will baffle the leaders of allied nations writes the bbc s economics editor,Business
"British Gas took 15 months to refund me £1,500. It's absurd. Beth Kojder said it was frustrating it took so long to get her money back, given the ombudsman had ruled in her favour nearly a year ago.",Business,BBC News,british gas took months to refund me it s absurd beth kojder said it was frustrating it took so long to get her money back given the ombudsman had ruled in her favour nearly a year ago,Business
"Trump tariff threat over Greenland 'unacceptable', European leaders say. The US president says several European allies opposed to his plans to buy Greenland will face 10% tariffs from February.",Business,BBC News,trump tariff threat over greenland unacceptable european leaders say the us president says several european allies opposed to his plans to buy greenland will face tariffs from february,Business
"Big chains accused of masquerading as independent restaurants on delivery apps. Justina John says independent restaurants are ""small fish trying to swim with the sharks"".",Business,BBC News,big chains accused of masquerading as independent restaurants on delivery apps justina john says independent restaurants are small fish trying to swim with the sharks,Business
"The one measure that can tell us a lot about the state of the UK economy. Consumer confidence levels are rebounding for some in the UK, but older generations look to be immune, writes Faisal Islam.",Business,BBC News,the one measure that can tell us a lot about the state of the uk economy consumer confidence levels are rebounding for some in the uk but older generations look to be immune writes faisal islam,Business
Trump's proposed credit card cap spotlights Americans' debt. Would it help?. President Trump's proposal to cap credit card interest rates at 10% - an idea with bipartisan support - received swift backlash from bank executives.,Business,BBC News,trump s proposed credit card cap spotlights americans debt would it help president trump s proposal to cap credit card interest rates at an idea with bipartisan support received swift backlash from bank executives,Business
"What tariffs has Trump announced and why?. Trump's volatile trade policy has thrown the world economy into chaos, and put some US prices up.",Business,BBC News,what tariffs has trump announced and why trump s volatile trade policy has thrown the world economy into chaos and put some us prices up,Business
Government to give cash payouts to people in financial crisis. The replacement for the Household Support Fund aims to help people facing sudden difficulties.,Business,BBC News,government to give cash payouts to people in financial crisis the replacement for the household support fund aims to help people facing sudden difficulties,Business
"ChatGPT to carry adverts for some users. OpenAI is also expanding its cheaper subscription tier, ChatGPT Go, to all countries where it operates.",Business,BBC News,chatgpt to carry adverts for some users openai is also expanding its cheaper subscription tier chatgpt go to all countries where it operates,Business
"Trump to unveil home buying plan involving retirement funds. The housing proposal will let Americans use their 401(k)s for down payments, a Trump economic adviser said.",Business,BBC News,trump to unveil home buying plan involving retirement funds the housing proposal will let americans use their k s for down payments a trump economic adviser said,Business
"Weight loss jabs are 'opportunity' for Leon, boss says. John Vincent says the chain could benefit from the weight loss trend, and sets out his plans to revive the business.",Business,BBC News,weight loss jabs are opportunity for leon boss says john vincent says the chain could benefit from the weight loss trend and sets out his plans to revive the business,Health
The threat to the US economy from Trump’s fight with the Fed. Donald Trump's stand-off with the US central bank has recalled episodes in other countries - which ended badly for the economy.,Business,BBC News,the threat to the us economy from trump s fight with the fed donald trump s stand off with the us central bank has recalled episodes in other countries which ended badly for the economy,Business
"Mother of Elon Musk's child sues xAI over Grok deepfakes. The parent company of X and Grok, xAI, launched a counter-suit saying she had violated its terms of service.",Business,BBC News,mother of elon musk s child sues xai over grok deepfakes the parent company of x and grok xai launched a counter suit saying she had violated its terms of service,Business
'We're in survival mode': The milk price crisis draining dairy farms. Adam and Lucy Johnstone have seen the money they receive for their milk tumble over the last three months.,Business,BBC News,we re in survival mode the milk price crisis draining dairy farms adam and lucy johnstone have seen the money they receive for their milk tumble over the last three months,Business
China and Canada announce tariffs relief after a high-stakes meeting between Carney and Xi. Canola oil and electric cars are at the centre of the deal agreed by Mark Carney and Xi Jinping after years of strained ties.,Business,BBC News,china and canada announce tariffs relief after a high stakes meeting between carney and xi canola oil and electric cars are at the centre of the deal agreed by mark carney and xi jinping after years of strained ties,Business
"Star Wars boss departs after leading franchise reboot. She oversaw the expansion of the franchise, including five feature films and new TV shows.",Business,BBC News,star wars boss departs after leading franchise reboot she oversaw the expansion of the franchise including five feature films and new tv shows,Business
"CIA director had two-hour meeting with new Venezuelan leader in Caracas. The pair discussed economic opportunities and preventing Venezuela becoming a place for ""America's adversaries"", a US official said.",Business,BBC News,cia director had two hour meeting with new venezuelan leader in caracas the pair discussed economic opportunities and preventing venezuela becoming a place for america s adversaries a us official said,Business
US to cut tariffs on Taiwanese goods after investment pledge. Commerce Secretary Howard Lutnick said the deal would help boost semiconductor production in the US.,Business,BBC News,us to cut tariffs on taiwanese goods after investment pledge commerce secretary howard lutnick said the deal would help boost semiconductor production in the us,Business
"How realistic is India's quest for magnets made of rare earths. India has a $800m plan to make rare earth magnets, aiming to reduce dependence on Chinese imports - but can it work?",Business,BBC News,how realistic is india s quest for magnets made of rare earths india has a m plan to make rare earth magnets aiming to reduce dependence on chinese imports but can it work,Entertainment
'They are essential': How smoke detectors are evolving. AI trained to recognise fire is among the latest developments in fire alarm tech.,Business,BBC News,they are essential how smoke detectors are evolving ai trained to recognise fire is among the latest developments in fire alarm tech,Business
"Honey, I shrunk the data centres: Is small the new big?. Huge data centres are being built to handle AI computing but some experts say they aren't necessary.",Business,BBC News,honey i shrunk the data centres is small the new big huge data centres are being built to handle ai computing but some experts say they aren t necessary,Business
Why are more bosses sharing the top job?. More bosses are sharing the top job giving them more time for family and breaks.,Business,BBC News,why are more bosses sharing the top job more bosses are sharing the top job giving them more time for family and breaks,Business
Why luxury carmakers are now building glitzy skyscrapers. Bugatti is the latest auto firm to construct an opulent apartment building for the super rich.,Business,BBC News,why luxury carmakers are now building glitzy skyscrapers bugatti is the latest auto firm to construct an opulent apartment building for the super rich,Business
"'I had no electricity for six months': US families struggle with soaring energy prices. Rising electricity costs have emerged as a key cost-of-living concern, pushing families further into debt.",Business,BBC News,i had no electricity for six months us families struggle with soaring energy prices rising electricity costs have emerged as a key cost of living concern pushing families further into debt,Business
Excel: The software that's hard to quit. Companies are trying to wean staff off Excel spreadsheets to centralise control of their data.,Business,BBC News,excel the software that s hard to quit companies are trying to wean staff off excel spreadsheets to centralise control of their data,Business
How tariff disruption will continue reshaping the global economy in 2026. Trump's import levies are still changing the patterns of international trade.,Business,BBC News,how tariff disruption will continue reshaping the global economy in trump s import levies are still changing the patterns of international trade,Business
How the new road safety measures could affect you. The government is proposing lowering alcohol limits for drivers and regular eye tests for older motorists.,Business,BBC News,how the new road safety measures could affect you the government is proposing lowering alcohol limits for drivers and regular eye tests for older motorists,Business
How the defence sector is battling a skills crisis. Attracting younger workers into the defence industry can be challenging.,Business,BBC News,how the defence sector is battling a skills crisis attracting younger workers into the defence industry can be challenging,Business
Swedish workers trial 'friendship hour' to combat loneliness. The pilot project is even giving staff free money to help pay to do activities with their friends.,Business,BBC News,swedish workers trial friendship hour to combat loneliness the pilot project is even giving staff free money to help pay to do activities with their friends,Health
The showers and baths keeping data centre tech cool. Finding greener ways to keep giant new data centres cool is a challenge.,Business,BBC News,the showers and baths keeping data centre tech cool finding greener ways to keep giant new data centres cool is a challenge,Business
Why Croatia's capital wants to hold Europe's best Christmas market. The festive events help to put cities on the map and attract millions of tourists.,Business,BBC News,why croatia s capital wants to hold europe s best christmas market the festive events help to put cities on the map and attract millions of tourists,Business
Will tech trump tradition at bakers and biscuit makers?. Introducing robots and automation to the food industry involves extra hurdles.,Business,BBC News,will tech trump tradition at bakers and biscuit makers introducing robots and automation to the food industry involves extra hurdles,Business
"Should more be done to tackle 'ghost jobs', vacancies that don't exist?. Companies are advertising vacancies that have already been filled or might not have ever existed.",Business,BBC News,should more be done to tackle ghost jobs vacancies that don t exist companies are advertising vacancies that have already been filled or might not have ever existed,Business
"Why this month's inflation figure may be good news for you. The rate of inflation, which charts the rising cost of living, has slowed - driven partly by essentials.",Business,BBC News,why this month s inflation figure may be good news for you the rate of inflation which charts the rising cost of living has slowed driven partly by essentials,Business
'Warm hub has saved me from loneliness'. An 84-year-old Blackpool pensioner says she found herself in fuel poverty when her husband died.,Business,BBC News,warm hub has saved me from loneliness an year old blackpool pensioner says she found herself in fuel poverty when her husband died,Business
Cafe offers free breakfasts for vulnerable people. Hummingbird Cafe wants to support people who may not be able to afford a hot meal.,Business,BBC News,cafe offers free breakfasts for vulnerable people hummingbird cafe wants to support people who may not be able to afford a hot meal,Business
"Trump to unveil home buying plan involving retirement funds. The housing proposal will let Americans use their 401(k)s for down payments, a Trump economic adviser said.",Business,BBC News,trump to unveil home buying plan involving retirement funds the housing proposal will let americans use their k s for down payments a trump economic adviser said,Business
Martin Lewis on why you should check your tax code now. Millions of people could be on the wrong tax code.,Business,BBC News,martin lewis on why you should check your tax code now millions of people could be on the wrong tax code,Business
Government to give cash payouts to people in financial crisis. The replacement for the Household Support Fund aims to help people facing sudden difficulties.,Business,BBC News,government to give cash payouts to people in financial crisis the replacement for the household support fund aims to help people facing sudden difficulties,Business
"The real impact of roadworks on the country - and why they're set to get worse. There is a fine balance between the benefits of improved infrastructure, versus the cost of disruption. Does the country have it right?",Business,BBC News,the real impact of roadworks on the country and why they re set to get worse there is a fine balance between the benefits of improved infrastructure versus the cost of disruption does the country have it right,Business
"Budget 2025: What's the best and worst that could happen for Labour?. Three days in, after a tax U-turn and partial climbdown on workers' rights, Laura Kuenssberg looks at what impact Budget week might have.",Business,BBC News,budget what s the best and worst that could happen for labour three days in after a tax u turn and partial climbdown on workers rights laura kuenssberg looks at what impact budget week might have,Business
"Has Britain's budget watchdog become too all-powerful?. Ahead of this week's Budget, some have accused the Office for Budget Responsibility of being a ""straitjacket on growth""",Business,BBC News,has britain s budget watchdog become too all powerful ahead of this week s budget some have accused the office for budget responsibility of being a straitjacket on growth,Business
The curious case of why Poundland is struggling during a cost-of-living crisis. Why - in an age where so many of us are feeling the financial pinch - are some budget shops on UK high streets having such a tough time?,Business,BBC News,the curious case of why poundland is struggling during a cost of living crisis why in an age where so many of us are feeling the financial pinch are some budget shops on uk high streets having such a tough time,Business
"The £5.30 orange juice that tells the story of why supermarket prices are sky high. Butter, chocolate, coffee and milk have all seen prices rocket. Tracing back through the story of one particular supermarket staple begins to explain why",Business,BBC News,the orange juice that tells the story of why supermarket prices are sky high butter chocolate coffee and milk have all seen prices rocket tracing back through the story of one particular supermarket staple begins to explain why,Business
Martin Lewis on why you should check your tax code now. Millions of people could be on the wrong tax code.,Business,BBC News,martin lewis on why you should check your tax code now millions of people could be on the wrong tax code,Business
Martin Lewis on 'the most dangerous form of mainstream debt in the UK'. Martin Lewis explains how building up overdraft debt compares to credit card debt.,Business,BBC News,martin lewis on the most dangerous form of mainstream debt in the uk martin lewis explains how building up overdraft debt compares to credit card debt,Business
The Inquiry. Can Kenya’s plan for digital outsourcing solve its jobs crisis?,Business,BBC News,the inquiry can kenya s plan for digital outsourcing solve its jobs crisis,Business
The Inquiry. How did live music evolve into a billion-dollar business for global stars?,Business,BBC News,the inquiry how did live music evolve into a billion dollar business for global stars,Business
"World stock markets brace for turbulence after Trump’s latest tariff shock. Losses on stocks likely with precious metals forecast to spike even higher after move to impose 25% levies on European alliesTrump threatens 25% tariff on allies over GreenlandAnalysis: tariff threats are bad, but uncertainty is worseGlobal stock markets are bracing for falls when trading resumes on Monday after Donald Trump threatened eight European countries with fresh tariffs until they support his ambition to acquire Greenland.The US president’s plan to impose new trade levies of 10% on goods from Denmark, Norway, Sweden, France, Germany, the UK, the Netherlands and Finland from 1 February, rising to 25% on 1 June, is creating fear in the markets, and among European businesses. Continue reading...",Business,The Guardian,world stock markets brace for turbulence after trump s latest tariff shock losses on stocks likely with precious metals forecast to spike even higher after move to impose levies on european alliestrump threatens tariff on allies over greenlandanalysis tariff threats are bad but uncertainty is worseglobal stock markets are bracing for falls when trading resumes on monday after donald trump threatened eight european countries with fresh tariffs until they support his ambition to acquire greenland the us president s plan to impose new trade levies of on goods from denmark norway sweden france germany the uk the netherlands and finland from february rising to on june is creating fear in the markets and among european businesses continue reading,Business
"Why Rachel Reeves should give bankers more of the cold shoulder at Davos 2026 | Heather Stewart. The chancellor has been cosseting City lenders to fuel economic growth but studies show UK plc would be better served by trying to keep them in checkBack-slapping bankers will be thick on the ground in the Swiss ski resort of Davos this week as Rachel Reeves flies in to mix with the global elite. But she might be wise to treat the finance bros with a certain froideur.That has not been Labour’s approach thus far: Reeves spared the banks from a windfall tax in her 26 November budget, and the UK’s regulators have just loosened capital rules for the first time since the financial crisis. Continue reading...",Business,The Guardian,why rachel reeves should give bankers more of the cold shoulder at davos heather stewart the chancellor has been cosseting city lenders to fuel economic growth but studies show uk plc would be better served by trying to keep them in checkback slapping bankers will be thick on the ground in the swiss ski resort of davos this week as rachel reeves flies in to mix with the global elite but she might be wise to treat the finance bros with a certain froideur that has not been labour s approach thus far reeves spared the banks from a windfall tax in her november budget and the uk s regulators have just loosened capital rules for the first time since the financial crisis continue reading,Business
"‘She had a hidden identity’: new film uncovers a mother’s second world war secrets.  In harrowing documentary My Underground Mother, a woman finds out what really happened to her mother in the warWhen journalist Marisa Fox was a young girl, her mother would regale her with stories of her own youth, all of which roiled with drama and consequence.  When she was a 13-year-old girl living in Poland in the late 1930s, on the brink of the Nazi occupation, her mother told her she was pulled away from her mother and put on a boat to Palestine where she spent the rest of the second world war.  As a teenager in that country, she said she became part of a radical Jewish underground group for whom she acted as a spy and a saboteur, smuggling bombs and guns which they used against the British army who ran the country at the time and who they very much wanted to force out.  “I was a hero,” her mother would often boast, “never a victim.",Entertainment,The Guardian,she had a hidden identity new film uncovers a mother s second world war secrets in harrowing documentary my underground mother a woman finds out what really happened to her mother in the warwhen journalist marisa fox was a young girl her mother would regale her with stories of her own youth all of which roiled with drama and consequence when she was a year old girl living in poland in the late s on the brink of the nazi occupation her mother told her she was pulled away from her mother and put on a boat to palestine where she spent the rest of the second world war as a teenager in that country she said she became part of a radical jewish underground group for whom she acted as a spy and a saboteur smuggling bombs and guns which they used against the british army who ran the country at the time and who they very much wanted to force out i was a hero her mother would often boast never a victim,Entertainment
"‘It had to be Jessie Buckley’: star-maker Nina Gold glimpses Oscar chance for Hamnet casting. Woman who paired Buckley with Paul Mescal in critics’ favourite is contender in new Academy Award categoryIf you were to compile a list of the most powerful people in the movie business, you might start with the auteurs, the A-list actors or the execs who bankroll Oscar-winning projects.But among those better-known powerbrokers is another vital cog in the Hollywood machine: the people with the ability to make and grow stars. Continue reading...",Entertainment,The Guardian,it had to be jessie buckley star maker nina gold glimpses oscar chance for hamnet casting woman who paired buckley with paul mescal in critics favourite is contender in new academy award categoryif you were to compile a list of the most powerful people in the movie business you might start with the auteurs the a list actors or the execs who bankroll oscar winning projects but among those better known powerbrokers is another vital cog in the hollywood machine the people with the ability to make and grow stars continue reading,Entertainment
"‘Hollywood has stopped making films for adults’: Sentimental Value and Sirāt contend for European Film Awards – with Oscars set to take note. Films by Joachim Trier, Óliver Laxe, Mascha Schilinski and Jafar Panahi will jostle for recognition at tomorrow’s event – which has repositioned itself as a major tastemaker during awards seasonThe European Film Awards (EFAs) have long styled themselves as “Europe’s answer to the Oscars”, even if, in terms of boosting commercial successes at the box office, their impact has been negligible. But as American studios increasingly prioritise franchise sequels over serious drama, and European films vie for major trophies outside the “best international feature” silo, the EFAs are feeling emboldened about becoming a major tastemaker for grownup cinema.This year, the European Film Academy has for the first time moved its annual jamboree from December to the middle of the US awards season, right between the Golden Globes and the Academy Awards. Continue reading...",Entertainment,The Guardian,hollywood has stopped making films for adults sentimental value and sir t contend for european film awards with oscars set to take note films by joachim trier liver laxe mascha schilinski and jafar panahi will jostle for recognition at tomorrow s event which has repositioned itself as a major tastemaker during awards seasonthe european film awards efas have long styled themselves as europe s answer to the oscars even if in terms of boosting commercial successes at the box office their impact has been negligible but as american studios increasingly prioritise franchise sequels over serious drama and european films vie for major trophies outside the best international feature silo the efas are feeling emboldened about becoming a major tastemaker for grownup cinema this year the european film academy has for the first time moved its annual jamboree from december to the middle of the us awards season right between the golden globes and the academy awards continue reading,Entertainment
